ID|Word|POS|RelationClass|Relation|RootHypernyms|Synonyms|Examples|Count|Prob|Definition|implication|SpatialScale|Enetity
1|abaft|IN|direction|back|aft.r.01|aft,1;abaft,0;astern,0|stow the luggage aft;ships with square sails sail fairly efficiently with the wind abaft|0|1|at or near or toward the stern of a ship or tail of an airplane|none|object|ship,plane,airplane
2|aboard|IN|direction|on|aboard.r.01|aboard,4;on_board,0|go aboard ship; aboard a plane|4|0.8|on a ship, train, plane or other vehicle|none|object|ship,train,plane,vehicle
3|aboard|RB|proximity|near|aboard.r.03|aboard,0;alongside,0|anchored close aboard another ship|0|0|side by side|none|object|living things
4|about|RB|proximity|near|about.r.02|about,10;around,1|dirty clothes lying about;let's look about for help|10|0.13|all around or on all sides|none|object|living things
5|about|RB|proximity|near|about.r.03|about,5;around,26|a few spectators standing about;hanging around;waited around for the next flight|5|0.06|in the area or vicinity|none|object|living things
6|about|RB|direction|back|about.r.05|about,3;around,1|about face;suddenly she turned around|3|0.04|in or to a reversed position or direction|none|object|living things
7|about|RB|proximity|near|about.r.04|about,3;around,12|wandering about with no place to go;people were rushing about;news gets about;|3|0.04|used of movement to or among many different places or in no particular direction|none|object|living things
8|above|RB|direction|over|above.r.02|above,9;higher_up,0;in_a_higher_place,0;to_a_higher_place,0|the room above|9|0.22|in or to a place that is higher|none|object|living things
9|abroad|RB|proximity|far;elsecountry|abroad.r.01|abroad,8|they had never travelled abroad|8|0.73|to or in a foreign country|none|country|place
10|abroad|RB|proximity|far;elsewhere|afield.r.01|afield,0;abroad,2|"looking afield for new lands to conquer""- R.A.Hall"|2|0.18|far away from home or one's usual surroundings|none|surrounding|place
11|abroad|IN|direction|across|overseas.r.02|overseas,1;abroad,1|travel abroad|1|0.09|in a place across an ocean|none|global|ocean
|adjacent to|IN|proximity|near|||their house is adjacent to a wooded park|||not distant |||
|close to|IN|proximity|near|||||||||
|juxtaposed to|IN|proximity|near|||a skyscraper juxtaposed to a church|||placed side by side especially so as to permit comparison and contrast|||
12|ahead|RB|direction|front|ahead.r.01|ahead,21;in_front,30;before,0|I see the lights of a town ahead;the road ahead is foggy;staring straight ahead;we couldn't see over the heads of the people in front;with the cross of Jesus marching on before|21|0.66|at or in the front|none|any|any
13|ahead|RB|direction|front|ahead.r.03|ahead,5;onward,0;onwards,0;forward,3;forwards,0;forrader,0|go ahead;the train moved ahead slowly;the boat lurched ahead;moved onward into the forest;they went slowly forward in the mud|5|0.16|in a forward direction|none|object|living things
