ID|Word|IsPreposition|IsAdverb|SemanticRole|SemanticOrder|RelationClass|Relation|Examples|Count|Prob|Definition|implication|SpatialScale|Enetity|Synonyms|RootHypernyms
127|here|0|1|spatial|2|referent|near|I work here;turn here;radio waves received here on Earth|187|0.63|in or at this place; where the speaker or writer is|current location|any|any|here,187|here.r.01
196|there|0|1|spatial|2|referent|near|they have lived there for years;it's not there;that man there|181|0.96|in or at that place|some location|any|any|there,181;at_that_place,0;in_that_location,0|there.r.01
102|down|0|1|spatial||direction||don't fall down;rode the lift up and skied down;prices plunged downward|98|0.8|spatially or metaphorically from a higher to a lower level or position|none|object|living things|down,98;downwards,0;downward,2;downwardly,0|down.r.01
128|here|0|1|spatial||||what do we have here?;here I must disagree|91|0.31|in this circumstance or respect or on this point or detail|none|object|living things|here,91|here.r.02
218|up|0|1|spatial||||look up!;the music surged up;the fragments flew upwards;prices soared upwards;upwardly mobile|79|1|spatially or metaphorically from a lower to a higher position|none|object|living things|up,79;upwards,3;upward,6;upwardly,0|up.r.01
65|away|0|1|spatial||||ran away from the lion;wanted to get away from there;sent the children away to boarding school;the teacher waved the children away from the dead animal;went off to school;they drove off;go forth and preach|70|0.62|from a particular thing or place or position (`forth' is obsolete)|none|object|living things|away,70;off,13;forth,3|away.r.01
81|before|0|1|spatial||||I had known her before;as I said before;he called me the day before but your call had come even earlier;her parents had died four years earlier;I mentioned that problem earlier|68|1|earlier in time; previously|none|object|living things|earlier,18;before,68|earlier.r.01
115|far|0|1|spatial||||a far far better thing that I do;felt far worse than yesterday;eyes far too close together|61|0.49|to a considerable degree; very much|none|object|living things|far,61|far.r.01
6|about|0|1|nonspatial||||lasted approximately an hour;in just about a minute;he's about 30 years old;I've had about all I can stand;we meet about once a month;some forty people came;weighs around a hundred pounds;roughly $3,000;holds 3 gallons, more or less;20 or so people were at the party|55|0.7|(of quantities) imprecise but fairly close to correct|none|||approximately,26;about,55;close_to,3;just_about,2;some,2;roughly,9;more_or_less,11;around,2;or_so,8|approximately.r.01
120|forward|0|1|spatial||||he faced forward;step forward;she practiced sewing backward as well as frontward on her new sewing machine|53|0.83|at or to or toward the front; (`forrad' and `forrard' are dialectal variations)|none|object|living things|forward,53;forwards,0;frontward,0;frontwards,0;forrad,0;forrard,0|forward.r.01
155|on|0|1|spatial||||we drove along admiring the view;the horse trotted along at a steady pace;the circus traveled on to the next city;move along;march on|40|0.93|with a forward motion|none|object|living things|along,25;on,40|along.r.01
116|far|0|1|spatial||||he traveled far;strayed far from home;sat far away from each other|39|0.31|at or to or from a great distance in space|none|object|living things|far,39|far.r.02
13|above|0|1|spatial||||see above|32|0.78|at an earlier place|none|object|living things|above,32;supra,3|above.r.01
194|somewhere|0|1|spatial||||she must be somewhere|30|1|in or at or to some place; (`someplace' is used informally for `somewhere')|none|object|living things|somewhere,30;someplace,1|somewhere.r.01
47|around|0|1|spatial||||a few spectators standing about;hanging around;waited around for the next flight|26|0.41|in the area or vicinity|none|object|living things|about,5;around,26|about.r.03
34|along|0|1|spatial||||we drove along admiring the view;the horse trotted along at a steady pace;the circus traveled on to the next city;move along;march on|25|0.66|with a forward motion|none|object|street, river|along,25;on,40|along.r.01
168|over|0|1|spatial||||come over and see us some time;over there|23|0.88|at or to a point across intervening space etc.|none|object|living things|over,23|over.r.01
103|down|0|1|spatial||||was sent down to work at the regional office;worked down on the farm;came down for the wedding;flew down to Florida|22|0.18|away from a more central or a more northerly place|none|object|living things|down,22|down.r.02
117|far|0|1|spatial||||I can only go so far before I have to give up;how far can we get with this kind of argument?|22|0.18|at or to a certain point or degree|none|object|living things|far,22|far.r.03
20|ahead|0|1|spatial||||I see the lights of a town ahead;the road ahead is foggy;staring straight ahead;we couldn't see over the heads of the people in front;with the cross of Jesus marching on before|21|0.66|at or in the front|none|any|any|ahead,21;in_front,30;before,0|ahead.r.01
66|away|0|1|spatial||||he gave out money to the poor;gave away the tickets|21|0.19|from one's possession|none|object|living things|away,21;out,0|away.r.02
99|closely|0|1|spatial||||the onsets were closely timed;houses set closely together;was closely involved in monitoring daily progress|19|0.83|in a close relation or position in time or space|none|object|living things|closely,19|closely.r.01
114|everywhere|0|1|spatial||||You find fast food stores everywhere;people everywhere are becoming aware of the problem;he carried a gun everywhere he went;looked all over for a suitable gift|19|1|to or in any or all places; (`everyplace' is used informally for `everywhere')|none|object|living things|everywhere,19;everyplace,0;all_over,6|everywhere.r.01
135|in|0|1|spatial||||come in;smash in the door|19|1|to or toward the inside of|none|object|living things|in,19;inwards,0;inward,0|in.r.01
137|inside|0|1|spatial||||in winter we play inside|19|0.58|within a building|none|object|living things|inside,19;indoors,1|inside.r.01
147|near|0|1|spatial||||as the wedding day drew near;stood near the door;don't shoot until they come near;getting near to the true explanation;her mother is always near;The end draws nigh;the bullet didn't come close;don't get too close to the fire|19|0.95|near in time or place or relationship|none|object|living things|near,19;nigh,0;close,17|near.r.01
41|apart|0|1|spatial||||These towns are many miles apart;stood with his legs apart;born two years apart|18|0.62|separated or at a distance in place or position or time|none|object|living things|apart,18|apart.r.01
129|here|0|1|spatial||||come here, please|17|0.06|to this place (especially toward the speaker)|none|object|living things|here,17;hither,6|here.r.03
179|right|0|1|spatial||||stand right here!|17|0.3|precisely, exactly|none|object|living things|right,17|right.r.01
88|below|0|1|spatial|||||16|0.48|in or to a place that is lower|none|object|living things|below,16;at_a_lower_place,0;to_a_lower_place,0;beneath,1|below.r.01
165|outside|0|1|spatial||||in summer we play outside|15|0.71|outside a building|none|object|living things|outside,15;outdoors,2;out_of_doors,3;alfresco,0|outside.r.01
177|past|0|1|spatial||||every hour a train goes past|15|1|so as to pass a given point|none|object|living things|by,2;past,15|by.r.01
113|elsewhere|0|1|spatial||||he went elsewhere;look elsewhere for the answer|14|1|in or to another place|none|object|living things|elsewhere,14|elsewhere.r.01
138|inside|0|1|spatial||||inside, the car is a mess|14|0.42|on the inside|none|object|living things|inside,14;within,6|inside.r.02
180|right|0|1|spatial||||she called right after dinner|14|0.25|immediately|none|object|living things|right,14|right.r.02
48|around|0|1|spatial||||He came all the way around the base;the road goes around the pond|13|0.21|by a circular or circuitous route|none|object|living things|around,13|around.r.02
67|away|0|1|spatial||||brush the objections aside;pushed all doubts away|13|0.12|out of the way (especially away from one's thoughts)|none|object|living things|aside,5;away,13|aside.r.02
83|behind|0|1|spatial||||he followed behind;seen from behind, the house is more imposing than it is from the front;the final runners were far behind|13|0.81|in or to or toward the rear|none|object|living things|behind,13|behind.r.01
89|below|0|1|spatial||||see below|13|0.39|at a later place|none|object|living things|below,13|below.r.02
152|off|0|1|spatial||||ran away from the lion;wanted to get away from there;sent the children away to boarding school;the teacher waved the children away from the dead animal;went off to school;they drove off;go forth and preach|13|0.43|from a particular thing or place or position (`forth' is obsolete)|none|object|living things|away,70;off,13;forth,3|away.r.01
227|upstairs|0|1|spatial||||they lived upstairs|13|1|on a floor above|none|object|living things|upstairs,13;up_the_stairs,6;on_a_higher_floor,0|upstairs.r.01
28|all over|0|1|spatial||||the wallpaper was covered all over with flowers;she ached all over;everything was dusted over with a fine layer of soot|12|0.67|over the entire area|none|any|any|all_over,12;over,0|all_over.r.01
49|around|0|1|spatial||||wandering about with no place to go;people were rushing about;news gets around (or about);traveled around in Asia;he needs advice from someone who's been around;she sleeps around|12|0.19|used of movement to or among many different places or in no particular direction|none|object|living things|about,3;around,12|about.r.04
153|off|0|1|spatial||||the boat was 5 miles off (or away);the party is still 2 weeks off (or away);away back in the 18th century|12|0.4|at a distance in space or time|none|object|living things|off,12;away,2|off.r.02
151|nowhere|0|1|spatial||||I am going nowhere|11|1|not anywhere; in or at or to no place|none|object|living things|nowhere,11|nowhere.r.01
181|right|0|1|spatial||||he fell flop on his face|11|0.19|exactly|none|object|living things|right,11;flop,0|right.r.03
7|about|0|1|spatial||||dirty clothes lying around (or about);let's look about for help;There were trees growing all around;she looked around her|10|0.13|all around or on all sides|none|object|living things|about,10;around,1|about.r.02
